
2025/02/15 (20:20:40) | ===> btop++ v.1.4.0
2025/02/15 (20:20:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (20:20:42) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (20:47:33) | ===> btop++ v.1.4.0
2025/02/15 (20:47:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:15:23) | ===> btop++ v.1.4.0
2025/02/15 (21:15:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (21:16:17) | WARNING: Failed to join _runner thread on exit!
2025/02/15 (21:20:00) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (21:20:03) | ===> btop++ v.1.4.0
2025/02/15 (21:20:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:20:17) | ===> btop++ v.1.4.0
2025/02/15 (21:20:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (21:20:19) | WARNING: Failed to join _runner thread on exit!
2025/02/15 (21:55:35) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (21:55:37) | ===> btop++ v.1.4.0
2025/02/15 (21:55:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (21:56:06) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (21:56:07) | ===> btop++ v.1.4.0
2025/02/15 (21:56:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:56:23) | ===> btop++ v.1.4.0
2025/02/15 (21:56:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (21:56:58) | ===> btop++ v.1.4.0
2025/02/15 (21:56:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (22:26:00) | ===> btop++ v.1.4.0
2025/02/15 (22:26:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:26:39) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:26:42) | ===> btop++ v.1.4.0
2025/02/15 (22:26:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:27:04) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:27:04) | ===> btop++ v.1.4.0
2025/02/15 (22:27:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:27:36) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:27:37) | ===> btop++ v.1.4.0
2025/02/15 (22:27:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/15 (22:28:01) | ===> btop++ v.1.4.0
2025/02/15 (22:28:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:28:28) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:28:30) | ===> btop++ v.1.4.0
2025/02/15 (22:28:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
